#,الجامعة,الدولة,المدينة,الموقع الرسمي,city_fill_method
4595,Vinayaka Missions International University College,Malaysia,,,
4596,Vision College,Malaysia,,,
4597,Catholic University Of Mozambique,Mozambique,,,
4603,College of Education Thanksgiving,Nigeria,,,
4605,Dominion University,Nigeria,,,
4607,Elizade University Ilara Mokin,Nigeria,,,
4608,Federal College of Education Contagora,Nigeria,,,
4609,Federal College of Education Protectors,Nigeria,,,
4616,Federal University Otuoke Bayelsa,Nigeria,,,
4620,Ignatius Ajuru University of Education Rumuoumeni,Nigeria,,,
4622,Kebbi State University Kebbi,Nigeria,,,
4629,Polytechnic Tower,Nigeria,,,
4630,Rivers State College of Arts & Science Rumuola,Nigeria,,,
4637,American College University,Nicaragua,,,
4639,Annunciata University,Nicaragua,,,
4640,Central American University of Business Sciences,Nicaragua,,,
4641,Centroamerican University,Nicaragua,,https://uca.edu.ni/,
4642,International University of the Integration of Latin America UNIVAL,Nicaragua,,,
4643,John Paul II Catholic University,Nicaragua,,,
4644,La Salle Technological University,Nicaragua,,,
4645,Martin Luther University,Nicaragua,,,
4646,Metropolitan University,Nicaragua,,,
4647,National Agrarian University,Nicaragua,,,
4650,Polytechnic University Of Nicaragua,Nicaragua,,,
4652,Technical University of Commerce,Nicaragua,,,
4653,The American University,Nicaragua,,,
4654,University of Technology & Commerce,Nicaragua,,,
4655,Vitoria UTV Technological Institute,Nicaragua,,,
4658,Artez Hogeschool Voor De Kunsten,Netherlands,,,
4659,Avans University Of Professional Education,Netherlands,,,
4660,CAH Vilentum Dronten & Almere,Netherlands,,,
4662,Cruyff Institute for Sport Studies,Netherlands,,,
4665,Gerrit Rietveld Academie,Netherlands,,,
4668,ITV College,Netherlands,,,
4669,Netherlands School of Primary Care Research,Netherlands,,,
4670,Nti Distance Education,Netherlands,,,
4671,Openuniversity,Netherlands,,,
4673,Rotterdams Conservatorium,Netherlands,,,
4675,Schumann Academy University of Professional Education,Netherlands,,,
4676,SDO University of Applied Sciences Part time Training Foundation,Netherlands,,,
4680,University For Humanistics,Netherlands,,,
4681,University of Professional Education in Midwifery,Netherlands,,,
4685,Van Hall Larenstein,Netherlands,,,
4690,Wittenborg Business University,Netherlands,,,
4692,Bjorknes College,Norway,,,
4693,Buskerud & Vestfold University College,Norway,,,
4697,Lovisenberg Diaconal University College,Norway,,,
4698,Mf Norwegian School Of Theology,Norway,,,
4700,NKI Online studies,Norway,,,
4701,Nord Trondelag University College,Norway,,,
4707,Parish & Fjordane University College,Norway,,,
4708,Sor Trondelag University College,Norway,,,
4713,Aoraki Polytechnic,New Zealand,,,
4715,International Pacific College,New Zealand,,,
4718,Linguis International Institute,New Zealand,,,
4721,Universal College Of Learning,New Zealand,,,
4723,Whitireia Polytechnic,New Zealand,,,
4724,German University Of Technology In Oman,Oman,,,
4725,Higher College Of Technology,Oman,,,
4727,Mazoon College for Management & Applied Sciences,Oman,,,
4728,Mazoon University College,Oman,,,
4729,Nizwa College Of Technology,Oman,,,
4731,University Of Buraimi,Oman,,,
4742,Antonio Ruiz De Montoya University,Peru,,,
4743,Autonomous University of Peru,Peru,,,
4744,Catholic University Headquarters Sapientiae,Peru,,,
4748,Continental University,Peru,,,
4750,Eastern Peruvian University,Peru,,,
4753,Inter American University for Development,Peru,,,
4754,John Paul II Private University,Peru,,,
4756,Leonardo Da Vinci Private University,Peru,,,
4758,Lord Of Sipan University,Peru,,,
4759,Micaela Bastidas National University Of Apurimac,Peru,,,
4775,National University Of The Peruvian Amazon,Peru,,,
4778,Neumann Business School Graduate School,Peru,,,
4780,Northern Private University,Peru,,,
4781,Peruvian Union University,Peru,,,
4782,Peruvian University of Sciences & Informatics,Peru,,,
4783,Peruvian University Of The Andes,Peru,,,
4784,Peruvian University of the Center,Peru,,,
4786,Private Autonomous University of the South,Peru,,,
4789,Sacred Heart Female University,Peru,,,
4794,Southern Scientific University,Peru,,,
4795,St Andrew's University,Peru,,,
4796,Technological University Of Peru,Peru,,,
4797,Toribio Rodriguez National University Of Mendoza Of Amazonas,Peru,,,
4806,Charles Yarn Memorial State College,Philippines,,,
4807,College of Sta Catherine of Alexandria,Philippines,,,
4811,Holy Trinity University Philippines,Philippines,,,
4813,Mater Dei College Bohol,Philippines,,,
4814,Misamis Oriental State College of Agriculture & Technology,Philippines,,,
4815,MSC Institute of Technology,Philippines,,,
4816,New Vizcaya State University,Philippines,,,
4817,Northeastern College,Philippines,,,
4819,Pampanga Agricultural College,Philippines,,,
4821,Saint Joseph Institute of Technology,Philippines,,,
4824,Southville SISFU,Philippines,,,
4826,St Charles College,Philippines,,,
4828,St Joseph's College,Philippines,,,
4829,St Louis St Mary's College,Philippines,,,
4830,St Paul Colleges St Paul City Laguna,Philippines,,,
4831,St Peter's College,Philippines,,,
4832,St Vincent's College,Philippines,,,
4833,STI West Negros University,Philippines,,,
4834,Union Christian College,Philippines,,,
4836,University of Science & Technology,Philippines,,,
4839,Western Mindoro State College,Philippines,,,
4840,Balochistan Institute of Information Technology & Management Sciences,Pakistan,,,
4841,Barret Hodgson University,Pakistan,,,
4842,Brains Post Graduate College,Pakistan,,,
4844,College of Business & Information Technology,Pakistan,,,
4845,COMMECS Institute of Businness Education,Pakistan,,,
4848,Fatima Jinnah Medical College,Pakistan,,,
4857,Institute of Computer & Management Sciences,Pakistan,,,
4859,Institute of Information Technology & Management,Pakistan,,,
4864,Jinnah Institute,Pakistan,,,
4869,Liaquat College of Management & Science,Pakistan,,,
4871,Murray College,Pakistan,,,
4878,NWFP University of Engineering & Technology,Pakistan,,,
4879,Pakistan Educational Foundation College,Pakistan,,,
4880,Qalandar Shahbaz University of Modern Sciences,Pakistan,,,
4883,Sir Sayyed College of Arts Commerce & Science,Pakistan,,,
4885,Tech Era College of Sciences & IT,Pakistan,,,
4895,Akademia Kupiecka,Poland,,,
4904,European University of Business,Poland,,,
4912,Henryk Niewodniczański Institute of Nuclear Physics,Poland,,,
4929,Higher School of Management in Biatystok,Poland,,,
4934,Higher School of Universal Education,Poland,,,
4940,Karkonosze Academy of Applied Sciences,Poland,,,
4941,Lazarski University,Poland,,,
4943,Lower Silesian College of Public Services Asesor in Wroctaw,Poland,,,
4956,Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences,Poland,,,
4967,PWST National Academy of Theater Arts Cracow Branch Wroclau,Poland,,,
4978,State Academy of Applied Sciences in Chetm,Poland,,,
4983,State Vocational University in Wtoctawek,Poland,,,
4984,State Vocational University of prof. Edward F Szczepanik in Suwatki,Poland,,,
4987,Tadeusz Kosciuszko Cracow University Of Technology,Poland,,,
4990,Technical University Of Fire Service,Poland,,,
4997,University of Humanities & Economics in Wtoctawek,Poland,,,
4998,University of Information Technology & Management Copernicus in Wroctaw,Poland,,,
5018,Wroctaw College of Management & Finances,Poland,,,
5019,Wsb School Of Banking,Poland,,,
5022,Antillean Adventist University,Puerto Rico,,,
5024,Center for Multidisciplinary Studies,Puerto Rico,,,
5028,Puerto Rico Conservatory Of Music,Puerto Rico,,,
5029,Sacred Heart University,Puerto Rico,,,
5031,St John's Metropolitan University,Puerto Rico,,,
5035,University Of Puerto Rico Rio Piedras,Puerto Rico,,,
5039,Jerusalem College Of Engineering,Palestine,,,
5040,ORT Braude College of Engineering,Palestine,,,
5041,Palestine Technical College Deir El Balah,Palestine,,,
5043,Peres Academic Center,Palestine,,,
5046,University of Independence,Palestine,,,
5049,Air Force Academy,Portugal,,,
5050,Autonomous Higher Institute of Polytechnic Studies,Portugal,,,
5054,Egas Moniz Higher School Of Health,Portugal,,,
5055,Escola Superior de Estudos de Artes Decorativas ESAD,Portugal,,,
5057,Higher Institute Of Applied Psychology,Portugal,,,
5058,Higher Institute of Education & Sciences,Portugal,,,
5059,Higher Institute Of Educational Sciences,Portugal,,,
5063,Infante Dom Henrique Nautical School,Portugal,,,
5065,"Institute of Visual Arts, Design & Marketing",Portugal,,,
5073,Northern Health School of the Portuguese Red Cross,Portugal,,,
5084,UNI Independent University,Portugal,,,
5090,University Of The Azores,Portugal,,,
5092,Vasco Da Gama University School,Portugal,,,
5095,Catholic University Of Our Lady Of The Assumption,Paraguay,,,
5096,Columbia University Of The Philippines,Paraguay,,,
5097,Hernando Arias de Saavedra Higher University,Paraguay,,,
5099,National University Of Italy,Paraguay,,,
5101,National University of Villarica of the Holy Spirit,Paraguay,,,
5102,Private University of the East,Paraguay,,,
5104,City College Qatar,Qatar,,,
5105,College of the North Atlantic Qatar,Qatar,,,
5109,Christian University Dimitrie Cantemir,Romania,,,
5110,December 1918 University,Romania,,,
5111,George Enescu University Of Arts,Romania,,,
5112,National University Of Fine Arts,Romania,,,
5120,University Babes Bolyai,Romania,,,
5128,European Vision University,Serbia,,,
5129,Faculty of Islamic Studies,Serbia,,,
5130,Gjilani College,Serbia,,,
5131,Globus International Management College,Serbia,,,
5136,Union University Faculty of Law,Serbia,,,
5137,University College,Serbia,,,
5144,Baikal Institute of Economics & Law,Russia,,,
5147,Bashkir State Pedagogical University M Akmully,Russia,,,
5165,Branch of the Ural Federal State University Alapaevske,Russia,,,
5173,Buryat State Agricultural Academy,Russia,,,
5180,Dagestan State Institute of National Economy,Russia,,,
5181,Dagestan State Medical Academy,Russia,,,
5184,Daghestan State Technical University,Russia,,,
5185,Dalrybvtuz Far Eastern State Technical University Of Fisheries,Russia,,,
5186,Don State University Of Agriculture,Russia,,,
5188,Economics & Power Engineering Institute,Russia,,,
5190,Far East State Agrarian University,Russia,,,
5191,Far East State Medical University,Russia,,,
5193,Far Eastern Institute of Communications,Russia,,,
5194,Far Eastern Institute of International Relations,Russia,,,
5195,Far Eastern Law Institute Ministry of Internal Affairs of the Russian Federation,Russia,,,
5196,Far Eastern State Academy,Russia,,,
5197,Far Eastern State Humanities University,Russia,,,
5198,Far Eastern State University Of Railway Transport,Russia,,,
5200,Frontier Academy of Federal Security Service of the Russian Federation,Russia,,,
5203,Higher School of Religion & Philosophy,Russia,,,
5204,Institute for Nuclear Research of the Russian Academy of Sciences,Russia,,,
5205,Institute of Applied Physics of the Russian Academy of Sciences,Russia,,,
5206,Institute of Business & Economics,Russia,,,
5208,"Institute of Design, Applied Arts & Humanitarian Education",Russia,,,
5210,Institute of Education & Science,Russia,,,
5211,Institute of Finance & Law,Russia,,,
5212,"Institute of Finance, Economics & Law Officers Reserve",Russia,,,
5213,Institute of International Relations,Russia,,,
5214,Institute of Jurisprudence & Management of all Russian Police Association,Russia,,,
5215,Institute of Legal Economics,Russia,,,
5216,Institute of Management Economics & Innovation,Russia,,,
5218,Institute of Modern Management & Business,Russia,,,
5219,Institute of Open Education,Russia,,,
5220,Institute of Russian Theatre,Russia,,,
5221,Institute of Solid State Physics of the Russian Academy of Sciences,Russia,,,
5222,Institute of Technology,Russia,,,
5223,Institute of World Economy & Information IWEI,Russia,,,
5224,International Academy of Business & Management,Russia,,,
5225,International Business School of Financial University under the Government of the Russian Federation,Russia,,,
5226,International Institute of Business Information Technology & Finance,Russia,,,
5227,International Jewish Institute of Economy Finance & Law,Russia,,,
5228,International Law Institute Ministry Of Justice Of The Russian Federation,Russia,,,
5257,Kuban Institute Informzaschita,Russia,,,
5258,Kuban Social & Economic Institute,Russia,,,
5269,M.M. Shemyakin and Y.A. Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,Russia,,,
5275,Middle University,Russia,,,
5276,Military Academy of Army Air Defence A M Vasilevsky,Russia,,,
5327,National Institute of Business,Russia,,,
5330,Neftekamsky Branch of Bashkir State University,Russia,,,
5334,North Caucasian Institute for Social,Russia,,,
5335,North Caucasian Institute of Business Engineering & Information Technology,Russia,,,
5338,North Caucasus State Academy,Russia,,,
5339,North Ossetian State Pedagogical Institute,Russia,,,
5342,Northwest Institute,Russia,,,
5352,Orlovsky Law Institute Ministry of Internal Affairs of the Russian Federation,Russia,,,
5354,Pacific State Medical University,Russia,,,
5368,Rostov Social & Economic Institute,Russia,,,
5370,Russian Academy of Justice,Russia,,,
5373,Russian Legal Academy of the Ministry of Justice,Russia,,,
5374,Russian Medical Military Academy,Russia,,,
5413,Service Institute & tourism Don State Technical University,Russia,,,
5416,Siberian Institute of Law Economics & Management,Russia,,,
5417,Siberian Institute of Management Branch Russian Academy of National Economy & Public Administration under the President of the Russian Federation,Russia,,,
5418,Siberian Law University,Russia,,,
5421,Siberian State University of Telecommunications & Informatics Ural Technical Institute of Communications & Informatics,Russia,,,
5428,South Russian Institute Russian Presidential Academy of National Economy & Public Administration,Russia,,,
5429,South Russian State Technical University,Russia,,,
5430,South Ural Institute of Professional,Russia,,,
5431,South Ural State Agricultural University,Russia,,,
5432,Southern Federal University Constantine Branch,Russia,,,
5433,Southern Russian Institute for the Humanities,Russia,,,
5440,St. Petersburg Federal Research Center of the Russian Academy of Sciences,Russia,,,
5444,Synergy University,Russia,,,
5446,Tatar American Regional Institute,Russia,,,
5447,Transbaikal State University,Russia,,,
5455,University of Russian Innovation in Education,Russia,,,
5460,Ural State Forest Engineering University,Russia,,,
5464,Vjatka State Agricultural Academy,Russia,,,
5486,Vyatka Social & Economic Institute,Russia,,,
5492,Christian University of Rwanda,Rwanda,,,
5495,KIM University,Rwanda,,,
5496,Rwanda Management Institute,Rwanda,,,
5497,Colleges Farabi,Saudi Arabia,,,
5503,Vision Colleges,Saudi Arabia,,,
5505,Bakhtalruda University,Sudan,,,
5506,International University Of Africa,Sudan,,,
5507,National University Sudan,Sudan,,,
5508,Public Health Institute,Sudan,,,
5509,University of Medical Sciences & Technology,Sudan,,,
5510,University of the Garden City,Sudan,,,
5511,University of the Holy Quran & Taseel of Science,Sudan,,,
5513,Ersta Skondal University College,Sweden,,,
5514,Gammelkroppa School of Forestry,Sweden,,,
5526,Royal Institute Of Arts,Sweden,,,
5530,Swedish National Defence College,Sweden,,,
5537,University West,Sweden,,,
5539,East Asia Institute of Management,Singapore,,,
5540,European Business Schools,Singapore,,,
5541,Lasalle College Of Arts,Singapore,,,
5542,Nanyang Academy Of Fine Arts,Singapore,,,
5543,P Jain Center Of Management,Singapore,,,
5544,SIM University,Singapore,,,
5548,The University of Adelaide Ngee Ann,Singapore,,,
5549,University of New South Wales Asia,Singapore,,,
5563,Pan European University,Slovakia,,,
5566,Selye University,Slovakia,,,
5574,Njala University Sierra Leone,Sierra Leone,,,
5578,ISM Higher Institute of Management,Senegal,,,
5579,ISM Private Business School,Senegal,,,
5580,Multinational Higher School of Telecommunications,Senegal,,,
5602,Captain General Gerardo Barrios Military School,El Salvador,,,
5603,Catholic University Of El Salvador,El Salvador,,,
5606,Evangelical University Of El Salvador,El Salvador,,,
5607,Gerardo Barrios University,El Salvador,,,
5608,Higher Institute of Economics & Business Administration,El Salvador,,,
5609,IESFORD Specialized Diplomatic Training Institute,El Salvador,,,
5611,Open Modular University,El Salvador,,,
5612,Technological Institute Technical School for Health,El Salvador,,,
5613,Technological University Of El Salvador,El Salvador,,,
5621,Catholic University of West Africa UCAO University Unit in Togo UUT,Togo,,,
5628,Chalerm Karnchana College,Thailand,,,
5632,Creme Academy Thailand,Thailand,,,
5638,Institute of Technology Ayothaya,Thailand,,,
5651,Northern College,Thailand,,,
5666,Siu International,Thailand,,,
5669,Southern College of Technology,Thailand,,,
5675,The Royal Thai Air Force Nursing College,Thailand,,,
5684,Finance and Economics Institute of Tajikistan,Tajikistan,,,
5685,Russian Tajik Slavonic University,Tajikistan,,,
5686,International University For The Humanities And Development,Turkmenistan,,,
5687,Turkmen State Institute Of Economics And Management,Turkmenistan,,,
5689,Grande Ecole d’Ingenieurs Polytechnique,Tunisia,,,
5693,Higher School of Aeronautics & Technologies,Tunisia,,,
5694,Montplaisir University Faculty of Management & International Business,Tunisia,,,
5695,Private Higher School of Engineering & Advanced Technology,Tunisia,,,
5696,Private University of the South,Tunisia,,,
5698,South Mediterranean University,Tunisia,,,
5729,Anka Technical University,Turkey,,,
5731,Ataturk University,Turkey,,https://atauni.edu.tr/,
5734,Bahcesehir University Bau,Turkey,,,
5737,Baskent University,Turkey,,https://baskent.edu.tr/,
5740,Bezmialem Vakif University,Turkey,,https://bezmialem.edu.tr/,
5747,Cag University,Turkey,,https://cag.edu.tr/,
5749,Canik Basari University,Turkey,,,
5753,Cyprus Health And Social Sciences University,Turkey,,,
5754,Dogus University,Turkey,,https://dogus.edu.tr/,
5760,Eurasia University,Turkey,,,
5762,Fenerbahce Universitesi,Turkey,,,
5763,Firat University,Turkey,,,
5765,Gelisim University,Turkey,,,
5767,Halic University,Turkey,,https://halic.edu.tr/,
5772,Isik University,Turkey,,https://isikun.edu.tr/,
5799,Nuh Naci Yazgan University,Turkey,,https://nny.edu.tr/,
5801,Ozyegin University,Turkey,,https://ozyegin.edu.tr/,
5809,Suleyman Demirel University Turkey,Turkey,,,
5812,Turkey Police Academy,Turkey,,,
5813,Turkish German University,Turkey,,,
5815,University of Health Sciences,Turkey,,,
5816,University Of Turkish Aeronautical Association,Turkey,,https://thk.edu.tr/,
5820,Yeni Yuzyil University,Turkey,,https://yeniyuzyil.edu.tr/,
5822,Yuzuncu Yil University,Turkey,,,
5826,Air Force Institute of Technology Taiwan,Taiwan,,,
5829,China Medical University Taiwan,Taiwan,,,
5831,China University Of Technology Taiwan,Taiwan,,,
5832,Chung Shan Medical University,Taiwan,,,
5834,Dahan Institute Of Technology,Taiwan,,,
5835,De Lin Institute of Technology,Taiwan,,,
5837,Hsing Wu University,Taiwan,,,
5841,Lee Ming Institute Of Technology,Taiwan,,,
5842,Mackay Medical College,Taiwan,,,
5848,National Taiwan Sport University,Taiwan,,,
5851,National Taiwan University Of Sport,Taiwan,,,
5853,National Yang Ming University,Taiwan,,,
5854,Oriental Institute of Technology,Taiwan,,,
5862,Transworld University,Taiwan,,,
5863,Tzu Chi College of Technology,Taiwan,,,
5864,Hope University Makumira,Tanzania,,,
5872,Alfred Nobel University International Business School,Ukraine,,,
5873,Bogomoletz National Medical University,Ukraine,,,
5878,Crimean University for the Humanities,Ukraine,,,
5882,Donbas State Academy Of Engineering,Ukraine,,,
5885,Economic Technological University,Ukraine,,,
5886,Feodosyyskoy Finance & Economic Academy,Ukraine,,,
5888,Institute of Business Administration,Ukraine,,,
5889,Institute of Land & Information Technology,Ukraine,,,
5890,Institute of Mathematics of the National Academy of Sciences of Ukraine,Ukraine,,,
5891,Institute of Technology National University Vladimir Dal,Ukraine,,,
5892,International University of Finance,Ukraine,,,
5913,Lugansk State University of Internal Affairs E A Didorenko,Ukraine,,,
5925,National University Of Civil Defence Of Ukraine,Ukraine,,,
5926,National University of Fine Arts & Architecture,Ukraine,,,
5930,Nezhinskii State University Nikolai Gogol,Ukraine,,,
5940,Shupyk National Medical Academy of Postgraduate Education,Ukraine,,,
5941,Southern National Pedagogical University Kd Ushinskogo,Ukraine,,,
5942,State Academy of Statistics Accounting & Auditing,Ukraine,,,
5943,State Flight Academy of Ukraine,Ukraine,,,
5944,State University of Intellectual Technologies & Communications,Ukraine,,,
5947,Tavria State Agrotechnological University,Ukraine,,,
5950,Ukrainian Academy Of Printing,Ukraine,,,
5951,Ukrainian Academy of Public Administration,Ukraine,,,
5952,Ukrainian Catholic University,Ukraine,,,
5954,Ukrainian State University of Finance & International Trade,Ukraine,,,
5958,University of New Technologies,Ukraine,,,
5959,University Of The State Fiscal Service Of Ukraine,Ukraine,,,
5966,Institute of Advanced Leadership Uganda,Uganda,,,
5967,International Health Sciences University,Uganda,,,
5971,Stafford University,Uganda,,,
5972,The Insurance Institute of Uganda,Uganda,,,
5975,Alderson Broaddus University,United States,,,
5981,Antonelli Institute Art & Photography,United States,,,
5996,Baptist College of Health Sciences,United States,,,
6003,Bethany Lutheran College,United States,,,
6025,California Institute Of The Arts Calarts,United States,,,
6028,California State University California Maritime Academy,United States,,,
6037,Calvary University,United States,,,
6038,Calvin University,United States,,,
6044,Central Christian College,United States,,,
6047,Charter College,United States,,,
6077,Costal Pines Technical College,United States,,,
6089,Davis Applied Technology College,United States,,,
6091,Delta Montrose Area Vocational Technical Center,United States,,,
6093,Dine College,United States,,,
6100,East Ohio College,United States,,,
6113,Expression College for Digital Arts,United States,,,
6114,F Ingram State Technical College,United States,,,
6116,Five Towns College,United States,,,
6117,Florida Coastal School Of Law,United States,,,
6120,Fort Berthold Community College,United States,,,
6122,Gallipolis Career College,United States,,,
6123,Generations College,United States,,,
6128,Golden Gate Baptist Theological Seminary,United States,,,
6130,Goldfarb School Of Nursing At Barnes Jewish College,United States,,,
6140,Heritage Christian University,United States,,,
6151,Indiana Tech,United States,,,
6154,International Academy of Design & Technology IADT,United States,,,
6156,Iowa Wesleyan University,United States,,,
6157,ITI Technical College,United States,,,
6160,John Wesley University,United States,,,
6168,Kaplan Career Institute,United States,,,
6172,Kentucky Christian University,United States,,,
6178,Laboure College,United States,,,
6183,Laurel Ridge Community College,United States,,,
6190,Life University Us,United States,,,
6191,Lincoln Group of Schools,United States,,,
6201,Macmurray College Of The Highlanders,United States,,,
6204,Maine College Of Art,United States,,https://meca.edu/,
6208,Manhattanville College,United States,,https://mville.edu/,
6209,Maranatha Baptist University,United States,,,
6213,Martin Methodist College,United States,,https://martinmethodist.edu/,
6217,Maryland University Of Integrative Health,United States,,,
6227,Methodist College,United States,,https://methodist.edu/,
6232,Mid America Christian University,United States,,,
6234,Midamerica Nazarene University,United States,,,
6235,Middle Georgia Technical College,United States,,,
6240,Missouri Baptist University,United States,,,
6241,Missouri Southern State University,United States,,,
6243,Missouri Tech,United States,,https://motech.edu/,
6245,Missouri Valley College Of The Vikings,United States,,,
6246,Mitchell Hamline School Of Law,United States,,,
6253,Mount Marty College,United States,,https://mtmc.edu/,
6255,Mount Sierra College,United States,,,
6259,Musicians Institute,United States,,,
6260,National College of Natural Medicine,United States,,,
6263,National University Of Health Sciences,United States,,,
6270,New York Academy Of Art,United States,,,
6271,New York Chiropractic College,United States,,https://nycc.edu/,
6272,New York School Of Interior Design,United States,,https://nysid.edu/,
6276,Northeast Ohio Medical University Neomed,United States,,,
6279,Northwest Christian University,United States,,,
6282,Northwest Indian College,United States,,,
6291,Notre Dame De Namur University,United States,,https://ndnu.edu/,
6292,Notre Dame Of Maryland University,United States,,,
6294,Ohio State University,United States,,https://ohio-state.edu/,
6302,Oklahoma Wesleyan University,United States,,,
6304,Otero College,United States,,,
6306,Ouachita Baptist University,United States,,https://obu.edu/,
6312,Pardee Rand Graduate School,United States,,,
6315,Pennsylvania Academy Of The Fine Arts,United States,,https://pafa.org/,
6318,Phillips Beth Israel School of Nursing,United States,,,
6319,Phillips Graduate Institute,United States,,https://pgi.edu/,
6320,Pima Medical Institute,United States,,,
6323,Plaza College,United States,,,
6329,Redstone College,United States,,,
6331,Rhode Island School Of Design,United States,,https://risd.edu/,
6347,Saint Catharine College Kentucky,United States,,,
6364,San Joaquin College Of Law,United States,,https://sjcl.org/,
6366,School For International Training,United States,,https://sit.edu/,
6370,Southeastern Bible College,United States,,https://sebc.edu/,
6373,Southern Arkansas University,United States,,https://saumag.edu/,
6374,Southern California Institute Of Architecture,United States,,https://sciarc.edu/,
6375,Southern California University Of Health Sciences,United States,,,
6377,Southern Methodist College,United States,,,
6380,Southern University Law Center,United States,,,
6381,Southern Vermont College,United States,,https://svc.edu/,
6383,Southern Wesleyan University,United States,,https://swu.edu/,
6388,Southwestern Christian University,United States,,https://swcu.edu/,
6391,Spertus Institute Of Jewish Studies,United States,,https://spertus.edu/,
6407,Sullivan College of Technology & Design,United States,,,
6409,Swedish Institute College of Health Sciences,United States,,,
6411,T Still University,United States,,,
6420,Texas Lutheran University,United States,,https://txlutheran.edu/,
6426,Thomas Aquinas College,United States,,https://thomasaquinas.edu/,
6430,Thomas M Cooley Law School,United States,,,
6434,Touro Law Center,United States,,,
6435,Tri College University Program,United States,,,
6436,Trident,United States,,,
6437,Trinity Christian College,United States,,https://trnty.edu/,
6438,Trinity International University,United States,,https://trin.edu/,
6442,Turtle Mountain Community College,United States,,,
6444,UMass Global,United States,,,
6445,Unilatina International College,United States,,,
6446,Unilatina International College NOW United International College,United States,,,
6452,United States Sports Academy,United States,,https://sport.ussa.edu/,
6461,University of Arizona Global Campus,United States,,,
6507,University Of North Carolina School Of The Arts,United States,,,
6511,University Of Northwestern Ohio,United States,,,
6527,University Of Tennessee Space Institute,United States,,https://utsi.edu/,
6545,University Of The Southwest,United States,,https://usw.edu/,
6552,University Of Western States,United States,,,
6564,Virginia International University,United States,,https://viu.edu/,
6565,Virginia Marti College of Art & Design,United States,,,
6566,Virginia Polytechnic Institute &amp; State University,United States,,,
6572,Washington Adventist University,United States,,,
6573,Washington Bible College,United States,,https://bible.edu/,
6581,West Virginia School Of Osteopathic Medicine,United States,,https://wvsom.edu/,
6591,WFI City College,United States,,,
6601,Catholic University Of Uruguay,Uruguay,,,
6604,University of the Republic Mathematics Center,Uruguay,,,
6627,Catholic University of Tachira,Venezuela,,,
6629,Francisco de Miranda University College,Venezuela,,,
6631,Lisandro Alvarado Central Western University,Venezuela,,,
6635,National Experimental University Of The Western Plains Ezequiel Zamora,Venezuela,,,
6636,Northeastern University Gran Mariscal de Ayacucho,Venezuela,,,
6637,Santa Maria University Venezuela,Venezuela,,,
6638,Santa Rosa Catholic University,Venezuela,,,
6640,University institute of industrial technology,Venezuela,,,
6641,University Institute of Management & Technology,Venezuela,,,
6644,University of the Armed Forces,Venezuela,,,
6647,Bach Khoa University,Vietnam,,,
6650,Dong Nai University Of Technology,Vietnam,,,
6651,Eastern University of Technology,Vietnam,,,
6652,Evn University Of Electricity,Vietnam,,,
6655,Hanoi Industrial Textile Garment University,Vietnam,,,
6666,Hong Bang University,Vietnam,,,
6669,Kien Giang Technical & Economic College,Vietnam,,,
6670,Long An University of Economy & Industry,Vietnam,,,
6671,National Economics University,Vietnam,,,
6672,National Institute of Education Management,Vietnam,,,
6673,Post & Telecommunications Institute of Technology,Vietnam,,https://ptit.edu.vn/,
6674,Quang Binh University,Vietnam,,,
6675,Saigon Institute of Mechanics Metallurgy Technology,Vietnam,,,
6679,University of Engineering & Technology,Vietnam,,,
6681,Vietnam Academy of Military Science,Vietnam,,,
6682,Vietnam Commercial University,Vietnam,,,
6683,Vietnam Military Political Academy,Vietnam,,,
6686,Vnuhcm International University,Vietnam,,,
6687,Vnuhcm University Of Technology,Vietnam,,,
6689,Alqalam University for Humanities & Applied Sciences,Yemen,,,
6691,Elrazi University Yemen,Yemen,,,
6693,Ibn Khaldoun University,Yemen,,,
6694,Knowledge & Modern Sciences University,Yemen,,,
6696,University of Aqara for Science & Technology,Yemen,,,
6698,University of Science & Technology Yemen,Yemen,,,
6699,University of the Holy Quran & Academic Sciences,Yemen,,,
6700,Yemen University,Yemen,,,
6701,Christian Reformed Theological Seminary,South Africa,,,
6702,Henley Management College,South Africa,,,
6703,Monash University South Africa,South Africa,,https://msa.ac.za/,
6704,New Africa Theatre Association,South Africa,,,
6705,Nkangala College,South Africa,,,
6707,Oval International Computer Education,South Africa,,,
6708,Sekhukhune College,South Africa,,,
6709,Sonett International Academy,South Africa,,,
6710,South African College of Applied Psychology,South Africa,,,
6711,Umgungundlovu College,South Africa,,,
6714,West Coast College,South Africa,,,
6715,Northrise University Zambia,Zambia,,,
